offset	ref_count	refs	string
0x00002dbc	0		_List.filled2
0x00003754	0		UnhandledException
0x00004e2c	0		List.filled
0x00004ff4	0		_GrowableList.filled2
0x002c7884	0		package:caps_games_common/src/controllers/audio/game_sound_controller.dart
0x002c82c4	0		onFirmwareUpdateCompleted
0x002c835c	0		Live data streaming error, forcing reconnection: 
0x002c874c	0		package:caps_shake/src/systems/overlays/ui/level_hud.dart
0x002c89dc	0		package:capsapps_sdk/algorithms/toss_algorithm/gyroscope.dart
0x002c8c0c	1	0023462c	signPayloadInitPlaySessionNotInitialized
0x002c93c4	0		package:caps_snake_vs_block/src/snake_vs_block/systems/collisions/collision_handler.dart
0x002c955c	0		package:reactive_ble_mobile/src/converter/protobuf_converter.dart
0x002c973c	0		Scaffold.of() called with a context that does not contain a Scaffold.
0x002c9bb4	0		Asking for audio data is not enabled (on the C++ side). Please use `setVisualizationEnabled(true);` to enable.
0x002c9db4	0		package:capsapps_sdk/bluetooth/service/discovery/filters/rssi_filter.dart
0x002ca48c	0		MeasurementModel
0x002ca584	0		assets/images/triki-background.png
0x002ca864	0		add may only be called once.2
0x002caaa4	0		searchingTRIKI
0x002cae0c	0		package:caps_shake/src/components/bitmap_components/spawn_positions_mixin.dart
0x002cb08c	0		package:caps_snake_vs_block/src/snake_vs_block/components/debug/debug_line.dart
0x002cb2dc	0		_InitFailedBottomSheet@315128691
0x002cb944	0		package:caps_zp_ui/src/exit_app/exit_app.dart
0x002cbb0c	0		Firmware update state changed: 
0x002cbdc4	0		LED not lighting? Reconnect Triki or choose another one 
0x002cc094	0		_BluetoothDisabledBottomSheet@687219687
0x002cc0cc	0		initialize() failed with error: 
0x002cc1dc	0		_addCommandsTag@1992314182
0x002cc204	0		package:capsapps_sdk/bluetooth/service/connection/ble_device_session.dart
0x002cc534	0		Reconnection Strategy: Reconnection disabled for 
0x002cc8dc	0		DFU: startDfu failed2
0x002cc8fc	0		CharacteristicValue
0x002cc9ec	0		_topSignedMeanByAbs@1411034922
0x002cd6d4	0		&circleddash;
0x002cd804	0		package:capsapps_bridge/src/presentation/onboarding/video/game_ob_player_error_view.dart
0x002cdcbc	0		package:caps_snake_vs_block/src/snake_vs_block/systems/spawn/strategies/dense_blocks_strategy.dart
0x002cdd94	0		Location is disabled2
0x002cdf54	0		package:caps_boxer/src/domain/player_model.dart
0x002ce394	0		pauseGame callback disabled
0x002ce754	0		package:caps_zp_ui/src/bottom_sheet/bottom_sheet_messages.dart
0x002ce94c	0		package:caps_shake/src/systems/camera/camera_centering_system.dart
0x002ced3c	0		DFU: Device connected: 
0x002cf024	0		SensorsEnableFlag
0x002cf284	0		let in if then else case of where module import exposing type alias as infix infixl infixr port effect command subscription
0x002cf57c	0		_handleEndHandleDragStart@202111801
0x002cf66c	0		Pogled nagore
0x002cf9dc	0		package:caps_games_common/src/ui/round_summary/widgets/round_summary_header.dart
0x002cfc84	0		stopLiveMeasurementRequestData
0x002cfdd4	0		package:caps_shake/src/systems/overlays/ui/animated_multiline_text.dart
0x002cff34	0		package:caps_snake_vs_block/src/snake_vs_block/components/orb/slow_down.orb.dart
0x002d0294	0		package:caps_shake/src/caps_shake_game.dart
0x002d097c	0		Checksum failed after 
0x002d0a04	0		deviceConnection_BluetoothError_Message
0x002d0a3c	0		MobileSensorsViewState
0x002d0abc	0		Failed to decode 
0x002d0cac	0		_RenderScaledInlineWidget@215328197
0x002d0e7c	0		ServiceWithCharacteristics._@1975234311
0x002d0ef4	0		package:reactive_ble_platform_interface/src/model/discovered_service.dart
0x002d11e4	0		continueFromLedTest
0x002d12b4	0		MobileSensorsError
0x002d151c	0		package:caps_boxer/src/ui_overlay/setup_game/player_setup/bloc/player_setup_state.dart
0x002d1584	0		_handleEndHandleDragEnd@202111801
0x002d164c	0		set:onSemanticsEnabledChanged
0x002d18d4	0		BluetoothRecoveredListener
0x002d1c14	0		bluetoothError_Message
0x002d221c	0		_FirmwareReadyBuilderState@6050684782
0x002d2384	0		firmwareUpdate_InProgressFromSearch_Message
0x002d24b4	0		package:caps_endless_match/src/core/bloc/endless_match_game_cubit.dart
0x002d2dc4	1	00234c0c	package:caps_snake_vs_block/src/snake_vs_block/systems/collisions/detectors/orb_collision_detector.dart
0x002d3ddc	0		Data on failed connection
0x002d4174	0		bluetoothPermissions_NoAccess_Message
0x002d440c	0		Failed to parse HTTP, 
0x002d452c	0		package:caps_games_common/src/controllers/game_input_mode.dart
0x002d4794	0		package:flutter_reactive_ble/src/reactive_ble.dart
0x002d48f4	0		package:caps_games_common/src/flame/caps_sprite_animation_component.dart
0x002d49dc	0		package:capsapps_sdk/algorithms/tilt/common/pitch_roll_yaw_entity.dart
0x002d4bbc	0		file:///home/runner/work/capsapps-zappka-flutter-module/capsapps-zappka-flutter-module/flutter_module/.dart_tool/flutter_build/dart_plugin_registrant.dart
0x002d4cd4	0		Failed to sign payload: Device not initialized
0x002d4d24	0		hasBluetoothService
0x002d5044	0		package:capsapps_sdk/bluetooth/exceptions/bluetooth_exceptions.dart
0x002d560c	0		package:caps_boxer/src/core/bloc/player_queue.dart
0x002d5a2c	0		Blue command init play session execution failed for device 
0x002d6354	0		onSignedPayload
0x002d685c	0		package:reactive_ble_mobile/src/reactive_ble_mobile_platform.dart
0x002d68ac	0		Sending signed payload of length: 
0x002d6b3c	0		_handleData@5048458
0x002d6ed4	0		package:caps_snake_vs_block/src/snake_vs_block/components/walls/vertical_wall.dart
0x002d6f94	0		MaxSignPayloadSize
0x002d7154	0		Sign payload timeout: 
0x002d7864	0		__ToggleLedButtonState&State&SingleTickerProviderStateMixin@673300305
0x002d7b3c	0		MobileSensorsListener
0x002d7d2c	0		package:caps_boxer/src/ui_overlay/setup_game/player_setup/widget/boxer_setup_player_title_widget.dart
0x002d7fec	0		activateMonitoringLiveData
0x002d806c	0		package:caps_asset_management/src/presentation/download/firmware_ready_builder.dart
0x002d80cc	0		ServicesWithCharacteristics._@1975234311
0x002d8234	0		ledTest_WorksButton
0x002d8284	0		package:caps_snake_1_v_1/src/core/events/game_event.dart
0x002d82cc	0		servicesWithCharacteristicsToDiscover
0x002d88f4	0		Wakelock enable failed with unexpected error2
0x002d89e4	0		_BatteryCheckBottomSheetState@628421663
0x002d8cf4	0		Failed to get battery status for device 
0x002d911c	0		remoteAssetsFlow_Error_AssetDownloadFailedMessage
0x002d9174	0		DrawCommandType
0x002d91ec	1	00234ecc	package:caps_boxer/src/config/boxer_assets.dart
0x002d935c	0		package:caps_test_games/src/exit_test_game.dart
0x002d95d4	0		FirmwareUpdateState
0x002d973c	0		package:caps_games_common/src/ui/no_setup_screen.dart
0x002da03c	0		package:caps_snake_vs_block/src/snake_vs_block/systems/analytics/snake_length_observator.dart
0x002da2a4	0		writeCharacteristicWithoutResponse has not been implemented.2
0x002da32c	0		:(visited|valid|root|right|required|read-write|read-only|out-range|optional|only-of-type|only-child|nth-of-type|nth-last-of-type|nth-last-child|nth-child|not|link|left|last-of-type|last-child|lang|invalid|indeterminate|in-range|hover|focus|first-of-type|first-line|first-letter|first-child|first|enabled|empty|disabled|default|checked|before|after...
0x002da694	0		package:caps_shake/src/mixins/spawn_positions_provider.dart
0x002da96c	1	00234fe4	collisionEnabled
0x002dab6c	0		characteristicUuids
0x002dac84	0		package:caps_snake_1_v_1/src/components/header/timer_update_system.dart
0x002db40c	0		request cancelled
0x002dbbf4	0		ReadyMobileSensorsState
0x002dbcb4	0		accelerometer
0x002dbff4	0		package:capsapps_bridge/src/presentation/game/game_overlay/pause/active_pause_cubit.dart
0x002dc2dc	0		NotifyCharacteristicRequest.2
0x002dc36c	0		package:caps_snake_1_v_1/src/components/arena/bloc/arena_state.dart
0x002dcb74	0		(AR|P|PAYLOAD|PR|R|SR|RSR|LBL|VR|UALM|MESSAGE|UTOOL|UFRAME|TIMER|TIMER_OVERFLOW|JOINT_MAX_SPEED|RESUME_PROG|DIAG_REC)\[
0x002dcbfc	0		package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/pickup/bloc/pickup_manager_cubit.dart
0x002dccec	0		Measurement|getXYAngularSpeed
0x002dd18c	0		Try reconnecting or disconnect Triki from other phones and try again.
0x002dd52c	1	002350fc	package:caps_endless_match/src/component/goal/goal_result_badge.dart2
0x002dd594	0		PathCommand
0x002dd5bc	0		package:capsapps_sdk/algorithms/tilt/kalman_models/position_horizontal_level_model.dart
0x002dd764	0		&FilledVerySmallSquare;
0x002dd8b4	0		package:caps_games_common/src/interface/caps_game_controller.dart
0x002de02c	0		Listening to processed live data for device 2
0x002de474	0		Client error - the request contains bad syntax or cannot be fulfilled
0x002de924	0		LedTestStepState
0x002de9a4	0		package:caps_endless_match/src/component/effect/effects_overlay_component.dart
0x002df19c	0		package:capsapps_sdk/core/shared/configuration/live_measurement_config.dart
0x002df334	0		filledButtonTheme
0x002df354	0		package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/pickup/pickup_manager_provider.dart
0x002df484	0		decodeBothSensorsMeasurements
0x002df72c	0		WriteCharacteristicFailure.
0x002df974	0		boolean bit character integer time delay_length natural positive string bit_vector file_open_kind file_open_status std_logic std_logic_vector unsigned signed boolean_vector integer_vector std_ulogic std_ulogic_vector unresolved_unsigned u_unsigned unresolved_signed u_signed real_vector time_vector
0x002dfafc	0		package:caps_shake/src/components/frog/character_frog.dart
0x002dfb5c	0		startLiveData
0x002dfe94	0		package:caps_shake/src/systems/spawning/difficulty_config.dart
0x002e037c	0		package:nordic_dfu/src/nordic_dfu.dart
0x002e0504	0		package:capsapps_sdk/algorithms/tilt/kalman_filter/measurement_model.dart
0x002e0744	0		Multiple matching characteristics found: 
