offset	string
0x00002dbc	_List.filled2
0x00003754	UnhandledException
0x00004e2c	List.filled
0x00004ff4	_GrowableList.filled2
0x002c7884	package:caps_games_common/src/controllers/audio/game_sound_controller.dart
0x002c82c4	onFirmwareUpdateCompleted
0x002c835c	Live data streaming error, forcing reconnection: 
0x002c874c	package:caps_shake/src/systems/overlays/ui/level_hud.dart
0x002c89dc	package:capsapps_sdk/algorithms/toss_algorithm/gyroscope.dart
0x002c8c0c	signPayloadInitPlaySessionNotInitialized
0x002c93c4	package:caps_snake_vs_block/src/snake_vs_block/systems/collisions/collision_handler.dart
0x002c955c	package:reactive_ble_mobile/src/converter/protobuf_converter.dart
0x002c973c	Scaffold.of() called with a context that does not contain a Scaffold.
0x002c9bb4	Asking for audio data is not enabled (on the C++ side). Please use `setVisualizationEnabled(true);` to enable.
0x002c9db4	package:capsapps_sdk/bluetooth/service/discovery/filters/rssi_filter.dart
0x002ca48c	MeasurementModel
0x002ca584	assets/images/triki-background.png
0x002ca864	add may only be called once.2
0x002caaa4	searchingTRIKI
0x002cae0c	package:caps_shake/src/components/bitmap_components/spawn_positions_mixin.dart
0x002cb08c	package:caps_snake_vs_block/src/snake_vs_block/components/debug/debug_line.dart
0x002cb2dc	_InitFailedBottomSheet@315128691
0x002cb944	package:caps_zp_ui/src/exit_app/exit_app.dart
0x002cbb0c	Firmware update state changed: 
0x002cbdc4	LED not lighting? Reconnect Triki or choose another one 
0x002cc094	_BluetoothDisabledBottomSheet@687219687
0x002cc0cc	initialize() failed with error: 
0x002cc1dc	_addCommandsTag@1992314182
0x002cc204	package:capsapps_sdk/bluetooth/service/connection/ble_device_session.dart
0x002cc534	Reconnection Strategy: Reconnection disabled for 
0x002cc8dc	DFU: startDfu failed2
0x002cc8fc	CharacteristicValue
0x002cc9ec	_topSignedMeanByAbs@1411034922
0x002cd6d4	&circleddash;
0x002cd804	package:capsapps_bridge/src/presentation/onboarding/video/game_ob_player_error_view.dart
0x002cdcbc	package:caps_snake_vs_block/src/snake_vs_block/systems/spawn/strategies/dense_blocks_strategy.dart
0x002cdd94	Location is disabled2
0x002cdf54	package:caps_boxer/src/domain/player_model.dart
0x002ce394	pauseGame callback disabled
0x002ce754	package:caps_zp_ui/src/bottom_sheet/bottom_sheet_messages.dart
0x002ce94c	package:caps_shake/src/systems/camera/camera_centering_system.dart
0x002ced3c	DFU: Device connected: 
0x002cf024	SensorsEnableFlag
0x002cf284	let in if then else case of where module import exposing type alias as infix infixl infixr port effect command subscription
0x002cf57c	_handleEndHandleDragStart@202111801
0x002cf66c	Pogled nagore
0x002cf9dc	package:caps_games_common/src/ui/round_summary/widgets/round_summary_header.dart
0x002cfc84	stopLiveMeasurementRequestData
0x002cfdd4	package:caps_shake/src/systems/overlays/ui/animated_multiline_text.dart
0x002cff34	package:caps_snake_vs_block/src/snake_vs_block/components/orb/slow_down.orb.dart
0x002d0294	package:caps_shake/src/caps_shake_game.dart
0x002d097c	Checksum failed after 
0x002d0a04	deviceConnection_BluetoothError_Message
0x002d0a3c	MobileSensorsViewState
0x002d0abc	Failed to decode 
0x002d0cac	_RenderScaledInlineWidget@215328197
0x002d0e7c	ServiceWithCharacteristics._@1975234311
0x002d0ef4	package:reactive_ble_platform_interface/src/model/discovered_service.dart
0x002d11e4	continueFromLedTest
0x002d12b4	MobileSensorsError
0x002d151c	package:caps_boxer/src/ui_overlay/setup_game/player_setup/bloc/player_setup_state.dart
0x002d1584	_handleEndHandleDragEnd@202111801
0x002d164c	set:onSemanticsEnabledChanged
0x002d18d4	BluetoothRecoveredListener
0x002d1c14	bluetoothError_Message
0x002d221c	_FirmwareReadyBuilderState@6050684782
0x002d2384	firmwareUpdate_InProgressFromSearch_Message
0x002d24b4	package:caps_endless_match/src/core/bloc/endless_match_game_cubit.dart
0x002d2dc4	package:caps_snake_vs_block/src/snake_vs_block/systems/collisions/detectors/orb_collision_detector.dart
0x002d3ddc	Data on failed connection
0x002d4174	bluetoothPermissions_NoAccess_Message
0x002d440c	Failed to parse HTTP, 
0x002d452c	package:caps_games_common/src/controllers/game_input_mode.dart
0x002d4794	package:flutter_reactive_ble/src/reactive_ble.dart
0x002d48f4	package:caps_games_common/src/flame/caps_sprite_animation_component.dart
0x002d49dc	package:capsapps_sdk/algorithms/tilt/common/pitch_roll_yaw_entity.dart
0x002d4bbc	file:///home/runner/work/capsapps-zappka-flutter-module/capsapps-zappka-flutter-module/flutter_module/.dart_tool/flutter_build/dart_plugin_registrant.dart
0x002d4cd4	Failed to sign payload: Device not initialized
0x002d4d24	hasBluetoothService
0x002d5044	package:capsapps_sdk/bluetooth/exceptions/bluetooth_exceptions.dart
0x002d560c	package:caps_boxer/src/core/bloc/player_queue.dart
0x002d5a2c	Blue command init play session execution failed for device 
0x002d6354	onSignedPayload
0x002d685c	package:reactive_ble_mobile/src/reactive_ble_mobile_platform.dart
0x002d68ac	Sending signed payload of length: 
0x002d6b3c	_handleData@5048458
0x002d6ed4	package:caps_snake_vs_block/src/snake_vs_block/components/walls/vertical_wall.dart
0x002d6f94	MaxSignPayloadSize
0x002d7154	Sign payload timeout: 
0x002d7864	__ToggleLedButtonState&State&SingleTickerProviderStateMixin@673300305
0x002d7b3c	MobileSensorsListener
0x002d7d2c	package:caps_boxer/src/ui_overlay/setup_game/player_setup/widget/boxer_setup_player_title_widget.dart
0x002d7fec	activateMonitoringLiveData
0x002d806c	package:caps_asset_management/src/presentation/download/firmware_ready_builder.dart
0x002d80cc	ServicesWithCharacteristics._@1975234311
0x002d8234	ledTest_WorksButton
0x002d8284	package:caps_snake_1_v_1/src/core/events/game_event.dart
0x002d82cc	servicesWithCharacteristicsToDiscover
0x002d88f4	Wakelock enable failed with unexpected error2
0x002d89e4	_BatteryCheckBottomSheetState@628421663
0x002d8cf4	Failed to get battery status for device 
0x002d911c	remoteAssetsFlow_Error_AssetDownloadFailedMessage
0x002d9174	DrawCommandType
0x002d91ec	package:caps_boxer/src/config/boxer_assets.dart
0x002d935c	package:caps_test_games/src/exit_test_game.dart
0x002d95d4	FirmwareUpdateState
0x002d973c	package:caps_games_common/src/ui/no_setup_screen.dart
0x002da03c	package:caps_snake_vs_block/src/snake_vs_block/systems/analytics/snake_length_observator.dart
0x002da2a4	writeCharacteristicWithoutResponse has not been implemented.2
0x002da32c	:(visited|valid|root|right|required|read-write|read-only|out-range|optional|only-of-type|only-child|nth-of-type|nth-last-of-type|nth-last-child|nth-child|not|link|left|last-of-type|last-child|lang|invalid|indeterminate|in-range|hover|focus|first-of-type|first-line|first-letter|first-child|first|enabled|empty|disabled|default|checked|before|after...
0x002da694	package:caps_shake/src/mixins/spawn_positions_provider.dart
0x002da96c	collisionEnabled
0x002dab6c	characteristicUuids
0x002dac84	package:caps_snake_1_v_1/src/components/header/timer_update_system.dart
0x002db40c	request cancelled
0x002dbbf4	ReadyMobileSensorsState
0x002dbcb4	accelerometer
0x002dbff4	package:capsapps_bridge/src/presentation/game/game_overlay/pause/active_pause_cubit.dart
0x002dc2dc	NotifyCharacteristicRequest.2
0x002dc36c	package:caps_snake_1_v_1/src/components/arena/bloc/arena_state.dart
0x002dcb74	(AR|P|PAYLOAD|PR|R|SR|RSR|LBL|VR|UALM|MESSAGE|UTOOL|UFRAME|TIMER|TIMER_OVERFLOW|JOINT_MAX_SPEED|RESUME_PROG|DIAG_REC)\[
0x002dcbfc	package:caps_snake_1_v_1/src/components/arena/children/blocked_positions/children/pickup/bloc/pickup_manager_cubit.dart
0x002dccec	Measurement|getXYAngularSpeed
0x002dd18c	Try reconnecting or disconnect Triki from other phones and try again.
0x002dd52c	package:caps_endless_match/src/component/goal/goal_result_badge.dart2
0x002dd594	PathCommand
0x002dd5bc	package:capsapps_sdk/algorithms/tilt/kalman_models/position_horizontal_level_model.dart
0x002dd764	&FilledVerySmallSquare;
0x002dd8b4	package:caps_games_common/src/interface/caps_game_controller.dart
0x002de02c	Listening to processed live data for device 2
0x002de474	Client error - the request contains bad syntax or cannot be fulfilled
0x002de924	LedTestStepState
0x002de9a4	package:caps_endless_match/src/component/effect/effects_overlay_component.dart
0x002df19c	package:capsapps_sdk/core/shared/configuration/live_measurement_config.dart
