count	prefix
403	package:flutter/src
190	package:highlight/languages
102	package:flame/src
98	package:caps_endless_match/src
86	package:caps_snake_1_v_1/src
76	package:caps_shake/src
67	package:caps_snake_vs_block/src
63	package:app/features
49	package:caps_asset_management/src
48	package:petitparser/src
47	package:capsapps_sdk/algorithms
45	package:markdown/src
41	package:capsapps_bridge/src
35	package:caps_boxer/src
32	package:caps_zp_ui/src
31	package:caps_games_common/src
31	package:xml/src
28	package:caps_toss/src
26	package:capsapps_sdk/bluetooth
25	package:ml_linalg/src
24	package:rxdart/src
21	package:caps_toss_challenge/src
21	package:reactive_ble_platform_interface/src
20	package:dio/src
20	package:vector_graphics_compiler/src
19	package:capsapps_sdk/core
16	package:protobuf/src
15	package:markdown_widget/widget
15	package:vector_math/src
12	package:app/common
11	package:flutter_native_api_plugin/src
10	package:flutter_soloud/src
9	package:flutter_bloc/src
9	package:intl/src
9	package:path/src
9	package:source_span/src
8	package:flutter_localizations/src
8	package:flutter_reactive_ble/src
7	package:app/di
7	package:collection/src
7	package:dartz/src
6	package:caps_networking/src
6	package:highlight/src
6	package:material_color_utilities/dynamiccolor
5	package:app/config
5	package:bloc/src
5	package:characters/src
5	package:crypto/src
5	package:permission_handler_platform_interface/src
5	package:reactive_ble_mobile/src
4	package:caps_l10n/src
4	package:caps_test_games/src
4	package:flame_bloc/src
4	package:http_parser/src
4	package:markdown_widget/config
4	package:material_color_utilities/hct
4	package:nordic_dfu/src
4	package:pub_semver/src
4	package:shared_preferences_android/src
4	package:vector_graphics/src
3	package:caps_zp_common/src
3	package:caps_zp_logger/src
3	package:convert/src
3	package:equatable/src
3	package:flutter_svg/src
3	package:logging/src
3	package:string_scanner/src
3	package:term_glyph/src
3	package:video_player_android/src
2	package:app_settings/src
2	package:caps_feature_flags/src
2	package:caps_games/src
2	package:capsapps_sdk/utils
2	package:connectivity_plus_platform_interface/src
2	package:ffi/src
2	package:fixnum/src
2	package:injectable/src
2	package:material_color_utilities/utils
2	package:path_parsing/src
2	package:provider/src
2	package:quiver/src
2	package:shared_preferences/src
2	package:url_launcher/src
2	package:url_launcher_platform_interface/src
1	package:
1	package:app/app.dart2
1	package:app/bootstrap.dart
1	package:app_settings/app_settings_method_channel.dart
1	package:app_settings/app_settings_platform_interface.dart
1	package:async/src
1	package:caps_boxer/caps_boxer_game.dart
1	package:caps_endless_match/caps_endless_match_game.dart
1	package:caps_feature_flags/envs
1	package:caps_l10n/caps_l10n.dart
1	package:caps_toss_challenge/caps_toss_challenge_game.dart
1	package:caps_zp_logger/caps_zp_logger.dart
1	package:caps_zp_style/src
1	package:capsapps_sdk/caps_apps_sdk.dart
1	package:connectivity_plus/connectivity_plus.dart
1	package:connectivity_plus_platform_interface/connectivity_plus_platform_interface.dart
